"model","tasks","successes","success_rate","success_ci95_low","success_ci95_high","mean_reward","total_model_calls","mean_model_calls","total_tokens","mean_tokens","total_model_latency_seconds","mean_model_latency_seconds","total_task_wall_seconds","mean_task_wall_seconds","max_steps_rate","parse_error_steps","recovered_format_steps","hard_parse_failure_steps","nonzero_exit_steps","repeated_actions","complete_200","task_category"
"arfa-llama3.1:8b-8k","42","8","0.19047619047619047","0.09981889609856436","0.33301067354996444","0.7890476190476196","162","3.857142857142857","162737","3874.690476190476","2470.3744426199964","58.818439109999915","2537.556567790005","60.418013518809644","0.047619047619047616","21","0","21","19","14","False","inspect"
"arfa-llama3.1:8b-8k","38","9","0.23684210526315788","0.12993561496969508","0.39207119165337856","0.6997368421052634","176","4.631578947368421","164166","4320.1578947368425","2174.9122110849985","57.234531870657854","2438.0297154979994","64.15867672363156","0.10526315789473684","24","0","24","40","37","False","other"
"arfa-llama3.1:8b-8k","33","7","0.21212121212121213","0.1067588656643618","0.3775197758712936","0.7900000000000003","127","3.8484848484848486","154630","4685.757575757576","2205.163417245999","66.82313385593936","2514.558529205996","76.1987433092726","0.06060606060606061","7","0","7","22","32","False","search"
"arfa-qwen2.5-coder:14b-8k","13","1","0.07692307692307693","0.013710066379696323","0.3331453392824736","0.6469230769230769","32","2.4615384615384617","22008","1692.923076923077","942.0473643740006","72.46518187492312","957.7561757500007","73.67355198076929","0.0","32","32","0","0","0","False","compute"
"arfa-qwen2.5-coder:14b-8k","4","0","0.0","0.0","0.48990002040399916","0.6825","11","2.75","8132","2033.0","365.5681714170005","91.39204285425012","371.546019540001","92.88650488500025","0.0","11","11","0","1","0","False","copy_or_move"
"arfa-qwen2.5-coder:14b-8k","29","12","0.41379310344827586","0.2551293527964552","0.5926247152148476","0.8117241379310348","86","2.9655172413793105","75863","2615.9655172413795","2431.8005166239927","83.85519022841355","2471.200834042009","85.21382186351755","0.06896551724137931","82","82","0","3","20","False","count"
"arfa-qwen2.5-coder:14b-8k","13","4","0.3076923076923077","0.12680497161618087","0.5763111218666236","0.6807692307692308","50","3.8461538461538463","54704","4208.0","1235.402845339977","95.03098810307515","1254.9369085840008","96.53360835261545","0.15384615384615385","50","50","0","6","19","False","create_or_modify"
"arfa-qwen2.5-coder:14b-8k","28","17","0.6071428571428571","0.42408726034906297","0.7643454817241996","0.850357142857143","87","3.107142857142857","75312","2689.714285714286","2053.4292907520066","73.33676038400024","2089.7184637489954","74.63280227674984","0.10714285714285714","85","61","24","1","10","False","delete"
"arfa-qwen2.5-coder:14b-8k","42","16","0.38095238095238093","0.24999520898785943","0.5318623178000363","0.8404761904761907","163","3.880952380952381","223087","5311.5952380952385","4185.770197829024","99.66119518640534","4463.426302961001","106.27205483240479","0.16666666666666666","161","150","11","23","50","False","inspect"
"arfa-qwen2.5-coder:14b-8k","38","12","0.3157894736842105","0.1908442002366664","0.47456056439948513","0.7850000000000004","140","3.6842105263157894","135678","3570.4736842105262","3290.211764916996","86.58452012939463","3347.067424084991","88.08072168644713","0.07894736842105263","132","132","0","12","34","False","other"
"arfa-qwen2.5-coder:14b-8k","33","18","0.5454545454545454","0.3798565794374957","0.701573108741085","0.8972727272727273","88","2.6666666666666665","66231","2007.0","2123.7075979160036","64.35477569442435","2184.3307435820025","66.19184071460613","0.030303030303030304","88","82","6","4","5","False","search"
